crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2
191,238,1240,39240.0,40920.0,56.69,-3955.9,1,0.0064
216,258,1251,40120.0,39320.0,56.18,-3955.6,1,0.0064
345,352,1226,38120.0,31800.0,49.64,-3955.5,1,0.0064
211,256,1203,36280.0,39480.0,53.62,-3955.4,1,0.0064
353,362,1179,34360.0,31000.0,46.28,-3955.4,1,0.0064
368,386,1239,39160.0,29080.0,48.78,-3955.4,1,0.0064
337,344,1244,39560.0,32440.0,51.16,-3955.3,1,0.0064
214,257,1267,41400.0,39400.0,57.15,-3954.5,1,0.0064
359,369,1184,34760.0,30440.0,46.2,-3954.3,1,0.0064
277,303,1237,39000.0,35720.0,52.89,-3954.2,1,0.0064
373,393,1219,37560.0,28520.0,47.16,-3953.9,1,0.0064
219,261,1277,42200.0,39080.0,57.52,-3953.8,1,0.0064
297,311,1218,37480.0,35080.0,51.34,-3953.6,1,0.0064
239,275,1220,37640.0,37960.0,53.46,-3952.5,1,0.0064
155,218,1312,45000.0,42520.0,61.91,-3951.5,1,0.0064
118,198,1227,38200.0,44120.0,58.36,-3950.7,1,0.0064
317,326,1199,35960.0,33880.0,49.41,-3950.5,1,0.0064
299,313,1194,35560.0,34920.0,49.84,-3949.7,1,0.0064
363,377,1192,35400.0,29800.0,46.27,-3949.7,1,0.0064
354,362,1234,38760.0,31000.0,49.63,-3949.3,1,0.0064
226,266,1249,39960.0,38680.0,55.61,-3949.1,1,0.0064
319,327,1251,40120.0,33800.0,52.46,-3948.9,1,0.0064
305,317,1280,42440.0,34600.0,54.76,-3948.7,1,0.0064
201,245,1249,39960.0,40360.0,56.8,-3948.2,1,0.0064
176,229,1221,37720.0,41640.0,56.18,-3947.9,1,0.0064
287,307,1267,41400.0,35400.0,54.47,-3946.7,1,0.0064
153,218,1222,37800.0,42520.0,56.89,-3946.6,1,0.0064
166,224,1284,42760.0,42040.0,59.96,-3946.6,1,0.0064
171,226,1278,42280.0,41880.0,59.51,-3946.6,1,0.0064
154,218,1278,42280.0,42520.0,59.96,-3946.3,1,0.0064
315,326,1141,31320.0,33880.0,46.14,-3946.2,1,0.0064
138,210,1227,38200.0,43160.0,57.64,-3945.8,1,0.0064
372,393,1198,35880.0,28520.0,45.83,-3945.5,1,0.0064
175,228,1354,48360.0,41720.0,63.87,-3944.8,1,0.0064
318,327,1192,35400.0,33800.0,48.94,-3944.7,1,0.0064
151,217,1265,41240.0,42600.0,59.29,-3944.6,1,0.0064
323,333,1182,34600.0,33320.0,48.04,-3944.3,1,0.0064
288,308,1226,38120.0,35320.0,51.97,-3944.1,1,0.0064
377,405,1234,38760.0,27560.0,47.56,-3944.0,1,0.0064
144,213,1274,41960.0,42920.0,60.02,-3943.7,1,0.0064
160,222,1217,37400.0,42200.0,56.39,-3943.7,1,0.0064
289,308,1281,42520.0,35320.0,55.28,-3942.9,1,0.0064
145,214,1154,32360.0,42840.0,53.69,-3942.8,1,0.0064
181,234,1228,38280.0,41240.0,56.27,-3942.8,1,0.0064
284,305,1274,41960.0,35560.0,55.0,-3942.7,1,0.0064
93,183,1229,38360.0,45320.0,59.38,-3942.2,1,0.0064
204,247,1212,37000.0,40200.0,54.64,-3941.9,1,0.0064
