crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,
337,344,1244,39560,32440,51.16,-3955.3,1,0.0064,,,,,
214,257,1267,41400,39400,57.15,-3954.5,1,0.0064,,,,,
359,369,1184,34760,30440,46.2,-3954.3,1,0.0064,,,,,
277,303,1237,39000,35720,52.89,-3954.2,1,0.0064,,,,,
373,393,1219,37560,28520,47.16,-3953.9,1,0.0064,,,,,
219,261,1277,42200,39080,57.52,-3953.8,1,0.0064,,,,,
297,311,1218,37480,35080,51.34,-3953.6,1,0.0064,,,,,
239,275,1220,37640,37960,53.46,-3952.5,1,0.0064,,,,,
155,218,1312,45000,42520,61.91,-3951.5,1,0.0064,,,,,
118,198,1227,38200,44120,58.36,-3950.7,1,0.0064,,,,,
317,326,1199,35960,33880,49.41,-3950.5,1,0.0064,,,,,
299,313,1194,35560,34920,49.84,-3949.7,1,0.0064,,,,,
363,377,1192,35400,29800,46.27,-3949.7,1,0.0064,,,,,
354,362,1234,38760,31000,49.63,-3949.3,1,0.0064,,,,,
226,266,1249,39960,38680,55.61,-3949.1,1,0.0064,,,,,
319,327,1251,40120,33800,52.46,-3948.9,1,0.0064,,,,,
305,317,1280,42440,34600,54.76,-3948.7,1,0.0064,,,,,
201,245,1249,39960,40360,56.8,-3948.2,1,0.0064,,,,,
176,229,1221,37720,41640,56.18,-3947.9,1,0.0064,,,,,
287,307,1267,41400,35400,54.47,-3946.7,1,0.0064,,,,,
153,218,1222,37800,42520,56.89,-3946.6,1,0.0064,,,,,
166,224,1284,42760,42040,59.96,-3946.6,1,0.0064,,,,,
171,226,1278,42280,41880,59.51,-3946.6,1,0.0064,,,,,
154,218,1278,42280,42520,59.96,-3946.3,1,0.0064,,,,,
315,326,1141,31320,33880,46.14,-3946.2,1,0.0064,,,,,
138,210,1227,38200,43160,57.64,-3945.8,1,0.0064,,,,,
372,393,1198,35880,28520,45.83,-3945.5,1,0.0064,,,,,
175,228,1354,48360,41720,63.87,-3944.8,1,0.0064,,,,,
318,327,1192,35400,33800,48.94,-3944.7,1,0.0064,,,,,
151,217,1265,41240,42600,59.29,-3944.6,1,0.0064,,,,,
323,333,1182,34600,33320,48.04,-3944.3,1,0.0064,,,,,
288,308,1226,38120,35320,51.97,-3944.1,1,0.0064,,,,,
377,405,1234,38760,27560,47.56,-3944,1,0.0064,,,,,
144,213,1274,41960,42920,60.02,-3943.7,1,0.0064,,,,,
160,222,1217,37400,42200,56.39,-3943.7,1,0.0064,,,,,
289,308,1281,42520,35320,55.28,-3942.9,1,0.0064,,,,,
145,214,1154,32360,42840,53.69,-3942.8,1,0.0064,6.37E-11,1.17E-10,9.78E-12,1.79E-11,
181,234,1228,38280,41240,56.27,-3942.8,1,0.0064,,,,,
284,305,1274,41960,35560,55,-3942.7,1,0.0064,,,,,
93,183,1229,38360,45320,59.38,-3942.2,1,0.0064,8.26E-11,7.95E-11,9.15E-12,1.13E-11,
204,247,1212,37000,40200,54.64,-3941.9,1,0.0064,,,,,
267,297,1244,39560,36200,53.62,-3941.9,1,0.0064,,,,,
306,319,1178,34280,34440,48.59,-3941,1,0.0064,,,,,
234,273,1203,36280,38120,52.62,-3940.9,1,0.0064,,,,,
