Rank,crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,IceIndex,Priority
327,192,239,1124,29960.0,40840.0,50.65,-3928.3,1,0.0064,5.437489347670521e-11,1.2654174930126771e-10,4.209940122207323e-12,1.1608249084194e-11,0.4127073718344054,Medium Priority
328,764,1468,140,-48760.0,-57480.0,75.38,-1957.9,1,0.0064,6.348010311851837e-11,1.4322230901253619e-10,9.640452498793639e-12,5.888426465178176e-12,0.4125761327495994,Medium Priority
329,562,1225,391,-28680.0,-38040.0,47.64,-2920.2,1,0.0064,6.041557532032725e-11,1.3894058126240338e-10,8.967738877874165e-12,5.719792695035864e-12,0.405723301850517,Medium Priority
330,303,314,102,-51800.0,34840.0,62.43,-1931.9,1,0.0064,7.723637701628759e-11,1.7789252015898427e-10,1.3557491934657051e-11,5.438042811195532e-12,0.4013321494555496,Medium Priority
331,133,207,1175,34040.0,43400.0,55.16,-3906.0,1,0.0064,5.088465412916854e-11,1.201084787183504e-10,6.445489975082097e-12,5.735086450880944e-12,0.3989264673643078,Medium Priority
332,39,137,1227,38200.0,49000.0,62.13,-3867.4,1,0.0064,5.938842473351967e-11,1.4507976764388528e-10,3.138613717881822e-12,4.252297732681987e-12,0.3979967091958836,Medium Priority
333,196,242,1390,51240.0,40600.0,65.38,-3862.9,1,0.0064,4.774616813030264e-11,1.1663937871109198e-10,2.384290247875453e-12,3.922183324650552e-12,0.3978062705833934,Medium Priority
334,644,1287,385,-29160.0,-43000.0,51.95,-2906.8,1,0.0064,8.367505993644997e-11,1.98703997700278e-10,1.0839220146441342e-11,1.218196550578643e-11,0.3974246275525601,Medium Priority
335,662,1304,534,-17240.0,-44360.0,47.59,-2912.6,1,0.0064,5.187241608473059e-11,1.2539870530847708e-10,4.884315608216783e-12,5.394433597732951e-12,0.3951190010903727,Medium Priority
336,539,1206,402,-27800.0,-36520.0,45.9,-2904.4,1,0.0064,7.549208480561731e-11,1.7401735608046915e-10,1.764110212076897e-11,7.826163328505942e-12,0.3918441241067306,Medium Priority
337,417,803,110,-51160.0,-4280.0,51.34,-2299.6,1,0.0064,8.196325562703777e-11,2.0466868477786446e-10,4.22968951530045e-12,1.704528358736912e-11,0.390490187944761,Medium Priority
338,649,1292,326,-33880.0,-43400.0,55.06,-2903.2,1,0.0064,7.802089529995726e-11,1.9447798926819357e-10,5.650970143211698e-12,8.014979305248637e-12,0.3879147763120827,Medium Priority
339,554,1218,249,-40040.0,-37480.0,54.84,-2555.5,1,0.0064,5.688050724872439e-11,1.356970785737488e-10,1.054204293304828e-11,1.134350859771649e-11,0.3863138184106768,Medium Priority
340,613,1259,327,-33800.0,-40760.0,52.95,-2901.0,1,0.0064,5.850580436783659e-11,1.4654337465724862e-10,4.729840217404524e-12,3.806472064632471e-12,0.384215992392338,Medium Priority
341,538,1206,356,-31480.0,-36520.0,48.22,-2899.4,1,0.0064,5.150430776312831e-11,1.2438977625706116e-10,8.669232866298504e-12,3.493486533043267e-12,0.3841913206723362,Medium Priority
342,688,1325,490,-20760.0,-46040.0,50.5,-2885.7,1,0.0064,7.93278567834399e-11,1.9649835925061862e-10,9.05329197026239e-12,8.35600772602918e-12,0.384058206819217,Medium Priority
343,626,1271,362,-31000.0,-41720.0,51.98,-2902.7,1,0.0064,4.1331625622031964e-11,9.784179716421092e-11,8.803856949013422e-12,4.050689905027438e-12,0.3839600024963232,Medium Priority
344,233,273,58,-55320.0,38120.0,67.18,-1900.9,1,0.0064,6.539042224362746e-11,1.6587065054807226e-10,4.853817868466504e-12,5.18506982141731e-12,0.3807868665810335,Medium Priority
345,656,1298,393,-28520.0,-43880.0,52.33,-2913.5,1,0.0064,7.395829088041593e-11,1.823429185421332e-10,1.1506301120234319e-11,1.1262737270589795e-11,0.3795667799366608,Medium Priority
346,1,0,630,-9560.0,59960.0,60.72,-3034.2,1,0.0064,4.8694749621436266e-11,1.217728695657172e-10,5.6430637072890636e-12,4.749664637287987e-12,0.3791955435772406,Medium Priority
347,733,1423,147,-48200.0,-53880.0,72.29,-1930.9,1,0.0064,5.5018295475051104e-11,1.41973877099133e-10,2.31846551505821e-12,3.262753565588805e-12,0.3786730565777062,Medium Priority
348,502,1177,308,-35320.0,-34200.0,49.16,-2545.0,1,0.0064,3.1021057250724127e-11,7.578974253741322e-11,5.130836727706978e-12,3.692377133213132e-12,0.3786723376348505,Medium Priority
349,647,1290,530,-17560.0,-43240.0,46.67,-2938.2,1,0.0064,5.666478397614583e-11,1.4612969168048548e-10,2.9184495532047494e-12,7.376859539887093e-12,0.37764402484596,Medium Priority
350,293,310,55,-55560.0,35160.0,65.75,-1930.6,1,0.0064,8.467934686784416e-11,2.0941706702082288e-10,1.4489289108798875e-11,7.523727300895455e-12,0.3765093540488485,Medium Priority
351,109,191,1177,34200.0,44680.0,56.27,-3897.2,1,0.0064,7.44423203635769e-11,1.8790377587230006e-10,9.882592140464386e-12,1.0778142267575674e-11,0.3744840308103864,Medium Priority
352,197,243,78,-53720.0,40520.0,67.29,-1896.9,1,0.0064,6.374326760871796e-11,1.6586224060866068e-10,4.1440718044627456e-12,8.880973213776233e-12,0.372753886737962,Medium Priority
353,577,1236,387,-29000.0,-38920.0,48.54,-2916.9,1,0.0064,7.577000138425659e-11,1.7422469023031795e-10,2.8314284944430668e-11,1.5984482834574543e-11,0.3722628617895131,Medium Priority
354,158,221,1410,52840.0,42280.0,67.67,-3812.2,1,0.0064,6.110343481191549e-11,1.6137496894330638e-10,1.7937341065601964e-12,1.0706163386386967e-11,0.372199046936219,Low Priority
355,413,798,154,-47640.0,-3880.0,47.8,-2308.2,1,0.0064,5.4876100191725286e-11,1.3114373476064142e-10,1.6011761361234278e-11,4.995353956871451e-12,0.3703953051230924,Low Priority
356,187,237,1138,31080.0,41000.0,51.45,-3932.9,1,0.0064,5.2687125495776144e-11,1.3232913376182154e-10,1.0261290081525765e-11,1.2178803972251462e-11,0.3669264571100936,Low Priority
357,556,1219,376,-29880.0,-37560.0,48.0,-2925.9,1,0.0064,7.299492260637308e-11,1.8453809313978558e-10,1.3982585922445168e-11,7.028525764868343e-12,0.36585141424667,Low Priority
358,45,142,1237,39000.0,48600.0,62.31,-3870.7,1,0.0064,5.8198029728728784e-11,1.5381282358895018e-10,4.505141051880379e-12,5.657321399538118e-12,0.3652948357702882,Low Priority
359,445,1069,328,-33720.0,-25560.0,42.31,-2376.8,1,0.0064,5.846666900621855e-11,1.5078671644630504e-10,8.603365415915665e-12,4.569402582005333e-12,0.3645279578848457,Low Priority
360,730,1383,76,-53880.0,-50680.0,73.97,-1908.9,1,0.0064,5.2099720371234775e-11,1.3748965854709638e-10,5.529402456738719e-12,9.554636595798804e-12,0.3617557287770915,Low Priority
361,28,124,1212,37000.0,50040.0,62.23,-3851.2,1,0.0064,6.318014167394637e-11,1.6985989004236754e-10,4.316663346215499e-12,5.0534602544227694e-12,0.3606655140302816,Low Priority
362,594,1248,436,-25080.0,-39880.0,47.11,-2901.2,1,0.0064,1.0387529031374854e-10,2.708074042789832e-10,1.7100624735699732e-11,8.465955367298328e-12,0.3595444912625442,Low Priority
363,451,1078,1419,53560.0,-26280.0,59.66,-1871.6,1,0.0064,7.9361427152147e-11,2.1533373695259428e-10,5.295643264180416e-12,9.569382612706344e-12,0.3580817086368421,Low Priority
364,486,1139,209,-43240.0,-31160.0,53.3,-2471.3,1,0.0064,5.3661217830347496e-11,1.4166243178515003e-10,7.582923872151426e-12,5.905987504606358e-12,0.3571572485258364,Low Priority
365,21,117,1226,38120.0,50600.0,63.35,-3835.2,1,0.0064,6.538006247502892e-11,1.7687706854729868e-10,5.8883943727938695e-12,9.296132440217427e-12,0.3557799242366798,Low Priority
366,202,246,83,-53320.0,40280.0,66.82,-1900.3,1,0.0064,4.3802222265965085e-11,1.1320103882050958e-10,9.484637034096188e-12,3.95248764273326e-12,0.3541414311989951,Low Priority
367,471,1114,339,-32840.0,-29160.0,43.92,-2499.4,1,0.0064,3.2809945732514834e-11,8.984209209916827e-11,2.2586995208212497e-12,4.29276275984436e-12,0.3524131767475784,Low Priority
368,690,1327,437,-25000.0,-46200.0,52.53,-2904.2,1,0.0064,8.918160654403096e-11,2.3504059809553723e-10,1.7021056439303628e-11,8.22109567921725e-12,0.3524105882732726,Low Priority
369,654,1295,521,-18280.0,-43640.0,47.31,-2918.2,1,0.0064,4.544290291286224e-11,1.1706770275399236e-10,1.1211917678999315e-11,7.654267844547924e-12,0.351508635008843,Low Priority
370,729,1376,0,-59960.0,-50120.0,78.15,-1908.3,1,0.0064,3.281711360991757e-11,9.062482014821072e-11,1.755258048283248e-12,3.359981997491657e-12,0.3514359191353699,Low Priority
371,585,1239,341,-32680.0,-39160.0,51.0,-2906.4,1,0.0064,4.282941709621291e-11,1.1390385162846072e-10,7.021354418018655e-12,2.2964562109567543e-12,0.3512761510518654,Low Priority
372,790,1497,49,-56040.0,-59800.0,81.95,-1903.7,1,0.0064,5.0944266166697005e-11,1.4008662285736048e-10,6.028872279878472e-12,6.77169431639868e-12,0.346287562157697,Low Priority
373,597,1249,463,-22920.0,-39960.0,46.07,-2894.9,1,0.0064,8.282241559243174e-11,2.334592519304124e-10,6.922772684964107e-12,1.8293037223893197e-11,0.3431175777251965,Low Priority
374,518,1191,383,-29320.0,-35320.0,45.9,-2894.0,1,0.0064,3.603595546963767e-11,9.808726053606164e-11,6.229216795161641e-12,4.1582228112180256e-12,0.3421682568844719,Low Priority
375,605,1254,358,-31320.0,-40360.0,51.09,-2910.5,1,0.0064,4.9053552886313405e-11,1.3313185276420114e-10,9.291762671781443e-12,6.7073265344608216e-12,0.3420186608544153,Low Priority
376,714,1351,445,-24360.0,-48120.0,53.93,-2955.7,1,0.0064,5.851803763778918e-11,1.5221654492414416e-10,1.869148412436683e-11,1.4491015158657472e-11,0.3404031676802942,Low Priority
377,608,1257,344,-32440.0,-40600.0,51.97,-2916.8,1,0.0064,6.033507027325413e-11,1.686737971517971e-10,8.062673792497144e-12,6.8129421375295865e-12,0.3394636449835004,Low Priority
378,446,1070,302,-35800.0,-25640.0,44.03,-2385.2,1,0.0064,3.4176987628864446e-11,9.582151738740663e-11,5.15888850735613e-12,6.058558169041994e-12,0.3351328848811693,Low Priority
379,631,1273,341,-32680.0,-41880.0,53.12,-2909.8,1,0.0064,6.133734492541619e-11,1.7629923909634468e-10,6.2525579332117776e-12,5.15272243276077e-12,0.3341691332803423,Low Priority
380,529,1200,369,-30440.0,-36040.0,47.17,-2898.4,1,0.0064,4.603191439134236e-11,1.3135471876868363e-10,5.7415587041698135e-12,4.309211841524441e-12,0.3333320436562179,Low Priority
381,747,1451,98,-52120.0,-56120.0,76.59,-1924.6,1,0.0064,2.820465042074893e-11,8.133873435900439e-11,2.3383101011020813e-12,4.469965630277129e-12,0.3330849653596124,Low Priority
382,603,1253,446,-24280.0,-40280.0,47.03,-2893.5,1,0.0064,6.484180553600892e-11,1.7696857868010338e-10,1.7442281993740316e-11,7.118644649445338e-12,0.3318229361070932,Low Priority
383,706,1342,423,-26120.0,-47400.0,54.12,-2922.4,1,0.0064,7.101955135091487e-11,1.9722791455567543e-10,1.6122381207850367e-11,7.848266307675099e-12,0.3313247182512153,Low Priority
384,532,1202,453,-23720.0,-36200.0,43.28,-2884.7,1,0.0064,2.8139310326302788e-11,8.338944812447123e-11,8.02945112742676e-13,2.498687238020048e-12,0.33030308525258,Low Priority
385,675,1316,451,-23880.0,-45320.0,51.23,-2936.9,1,0.0064,6.841216482200707e-11,2.0019330637666144e-10,7.385421267602776e-12,7.931399460814337e-12,0.3279920517047432,Low Priority
386,271,299,90,-52760.0,36040.0,63.89,-1927.4,1,0.0064,4.8086815779280194e-11,1.3971886148045343e-10,6.008198712853519e-12,3.731174657434222e-12,0.3277297024552101,Low Priority
387,609,1257,372,-30200.0,-40600.0,50.6,-2917.5,1,0.0064,5.764935057106513e-11,1.6594010887605035e-10,9.168475006982035e-12,6.837141096338595e-12,0.3273511676713874,Low Priority
388,779,1487,69,-54440.0,-59000.0,80.28,-1934.6,1,0.0064,5.6714962587411926e-11,1.7176067512725268e-10,1.2499617226685578e-12,5.004963023885756e-12,0.325928136429538,Low Priority
389,763,1468,122,-50200.0,-57480.0,76.32,-1929.6,1,0.0064,5.2458169752522814e-11,1.5281555187929283e-10,7.205951113586906e-12,5.809232435372014e-12,0.3257836299965631,Low Priority
390,541,1206,469,-22440.0,-36520.0,42.86,-2870.8,1,0.0064,4.4266496718181614e-11,1.301958263422165e-10,5.381301741019806e-12,7.84676577186838e-12,0.3241135418457738,Low Priority
391,641,1284,361,-31080.0,-42760.0,52.86,-2936.2,1,0.0064,4.5975494245009685e-11,1.26644195130865e-10,1.4368070969106306e-11,6.891608377718184e-12,0.3237431209825541,Low Priority
392,759,1465,86,-53080.0,-57240.0,78.06,-1914.8,1,0.0064,6.84205608836308e-11,2.075209448726412e-10,3.553937959893672e-12,3.640967301959952e-12,0.3226245370021454,Low Priority
393,200,245,11,-59080.0,40360.0,71.55,-1895.8,1,0.0064,7.817801961351734e-11,2.3164153928334483e-10,1.0463536287419473e-11,9.587751599593464e-12,0.3215811904789329,Low Priority
394,550,1216,255,-39560.0,-37320.0,54.39,-2563.7,1,0.0064,5.498906191503394e-11,1.319673120780962e-10,3.897154474130637e-11,9.97935154650742e-12,0.3198175382356541,Low Priority
395,31,128,633,-9320.0,49720.0,50.59,-1970.1,1,0.0064,5.769044963965797e-11,1.73497743949369e-10,6.454599008054451e-12,5.427295765580986e-12,0.318815709687893,Low Priority
396,638,1279,370,-30360.0,-42360.0,52.12,-2906.3,1,0.0064,4.238077250251493e-11,1.245208935962694e-10,8.007213815608427e-12,6.3425397746341705e-12,0.3173921455487132,Low Priority
397,593,1248,357,-31400.0,-39880.0,50.76,-2909.7,1,0.0064,5.6524958325088186e-11,1.713344743858869e-10,6.128143131833852e-12,3.102022761922174e-12,0.3167327651656541,Low Priority
398,579,1236,442,-24600.0,-38920.0,46.04,-2902.6,1,0.0064,8.70575139755303e-11,2.6747884462885447e-10,7.2183136204384546e-12,8.070080194377827e-12,0.3157722572418048,Low Priority
399,640,1281,510,-19160.0,-42520.0,46.64,-2928.6,1,0.0064,4.4842411034418106e-11,1.3054377023813402e-10,1.1249826591119838e-11,8.853416263998604e-12,0.3140365676763408,Low Priority
400,596,1249,364,-30840.0,-39960.0,50.48,-2914.2,1,0.0064,4.152441931970508e-11,1.2580159136632574e-10,6.30734700579616e-12,4.835351303383861e-12,0.3119581586896788,Low Priority
401,600,1251,336,-33080.0,-40120.0,52.0,-2906.9,1,0.0064,4.802375858092845e-11,1.504623647896608e-10,3.0354750830963173e-12,5.685519329640121e-12,0.3108377348219259,Low Priority
402,265,296,100,-51960.0,36280.0,63.37,-1921.3,1,0.0064,3.368372594736435e-11,1.0287879576020842e-10,4.516932401027463e-12,4.955196409445195e-12,0.3107477251987335,Low Priority
403,595,1249,347,-32200.0,-39960.0,51.32,-2909.2,1,0.0064,5.071043238102924e-11,1.573211005911901e-10,6.470829948257428e-12,5.8861513753394315e-12,0.3077240021099837,Low Priority
404,525,1196,403,-27720.0,-35720.0,45.21,-2898.6,1,0.0064,4.958527338727592e-11,1.4468419518021136e-10,1.6335792094035462e-11,3.3141349907450657e-12,0.3060441752988431,Low Priority
405,251,283,116,-50680.0,37320.0,62.94,-1954.3,1,0.0064,3.869204262541004e-11,1.2191281317797118e-10,4.092199669403218e-12,4.448040893945127e-12,0.3046497280537059,Low Priority
406,560,1225,22,-58200.0,-38040.0,69.53,-1906.4,1,0.0064,4.736762024282193e-11,1.4933689007623483e-10,6.089710333223586e-12,7.828614492777497e-12,0.3028105201981863,Low Priority
407,25,122,1201,36120.0,50200.0,61.84,-3838.3,1,0.0064,7.242977745347545e-11,2.2127452647957566e-10,1.9452776195416632e-11,5.61931621026468e-12,0.2996342434303289,Low Priority
408,795,1499,107,-51400.0,-59960.0,78.98,-1924.1,1,0.0064,7.820426251026191e-11,2.520647579551394e-10,9.20536476906042e-12,7.108648739095891e-12,0.2981821249708286,Low Priority
409,581,1237,349,-32040.0,-39000.0,50.47,-2901.9,1,0.0064,4.090971658654574e-11,1.2806471161308508e-10,9.425031935461624e-12,7.255935435823701e-12,0.2953988904759947,Low Priority
410,466,1108,399,-28040.0,-28680.0,40.11,-2373.6,1,0.0064,3.469807427491921e-11,1.1450717457561763e-10,2.6182593419743494e-12,3.3798552064728815e-12,0.2937392323072919,Low Priority
411,794,1499,87,-53000.0,-59960.0,80.03,-1940.4,1,0.0064,4.509139936437201e-11,1.4872110487562648e-10,3.930196012386089e-12,5.819371894089098e-12,0.2934657832623004,Low Priority
412,390,763,110,-51160.0,-1080.0,51.17,-2326.4,1,0.0064,7.186976014317281e-11,2.3199375753790719e-10,1.2428173074008342e-11,1.1481997644335884e-11,0.2928416379252598,Low Priority
413,2,0,680,-5560.0,59960.0,60.22,-3129.1,1,0.0064,3.9114649019733605e-11,9.527864608394052e-11,3.7602278929460547e-11,7.306053331768148e-12,0.2921599848209769,Low Priority
414,761,1466,108,-51320.0,-57320.0,76.94,-1919.0,1,0.0064,7.618854158675248e-11,2.5901825129182043e-10,2.001981696739264e-12,1.1522944057262839e-11,0.2907735052280448,Low Priority
415,740,1438,103,-51720.0,-55080.0,75.56,-1936.8,1,0.0064,3.184044694570787e-11,1.0415594081658595e-10,4.502308248444109e-12,4.069198537154373e-12,0.2903607089953232,Low Priority
416,383,748,117,-50600.0,120.0,50.6,-2312.2,1,0.0064,6.342579239593249e-11,2.1429598373590158e-10,6.06594635632618e-12,8.568976257727899e-12,0.2865252953364967,Low Priority
417,544,1208,238,-40920.0,-36680.0,54.95,-2550.1,1,0.0064,4.110332213480561e-11,1.3565557011041562e-10,9.164581420140204e-12,8.636199394507216e-12,0.2818768304886354,Low Priority
418,741,1439,135,-49160.0,-55160.0,73.89,-1926.6,1,0.0064,4.288974730926043e-11,1.496896634423095e-10,1.676033986076908e-12,4.763564109139251e-12,0.2814921470721394,Low Priority
419,516,1190,295,-36360.0,-35240.0,50.64,-2561.1,1,0.0064,4.7401908787048086e-11,1.6445117489993774e-10,3.579983531842857e-12,1.201731075761714e-11,0.2804329641163706,Low Priority
420,589,1243,334,-33240.0,-39480.0,51.61,-2901.8,1,0.0064,4.432681305344133e-11,1.5850268320072303e-10,1.2090829639571645e-12,3.201428705468245e-12,0.2758156052371421,Low Priority
421,515,1189,1,-59880.0,-35160.0,69.44,-1870.1,1,0.0064,3.6547313786439155e-11,1.2911646751767591e-10,2.4931048978743538e-12,2.438394755208129e-12,0.275600871948468,Low Priority
422,487,1140,190,-44760.0,-31240.0,54.58,-2492.5,1,0.0064,3.710201590401141e-11,1.3343130766951816e-10,1.8597165907935365e-12,2.803657262948067e-12,0.272226407464278,Low Priority
423,477,1119,217,-42600.0,-29560.0,51.85,-2500.4,1,0.0064,6.36701733003342e-11,2.2824755974149006e-10,4.980032445450755e-12,5.1076725314513904e-12,0.2718303710756587,Low Priority
424,232,272,92,-52600.0,38200.0,65.01,-1906.4,1,0.0064,4.6927930291706937e-11,1.6473077069090178e-10,7.425925326043359e-12,5.762117345764484e-12,0.271014239536625,Low Priority
425,652,1294,337,-33000.0,-43560.0,54.65,-2902.0,1,0.0064,6.350653336539834e-11,2.2658373788342343e-10,7.774399179982794e-12,3.790019079824569e-12,0.2698293509533068,Low Priority
426,15,105,1236,38920.0,51560.0,64.6,-3874.2,1,0.0064,4.3393847543038426e-11,1.4878592802247678e-10,1.4347984605977967e-11,1.5865449579099966e-11,0.2643807537889372,Low Priority
427,483,1130,193,-44520.0,-30440.0,53.93,-2472.1,1,0.0064,3.5213412047374604e-11,1.2466459808901928e-10,8.146671705289155e-12,5.145860734051544e-12,0.2631572968517812,Low Priority
428,785,1490,155,-47560.0,-59240.0,75.97,-1928.8,1,0.0064,5.4494207757382895e-11,1.9937045070417267e-10,7.829862626318462e-12,4.046867008167254e-12,0.2617393167457936,Low Priority
429,572,1232,366,-30680.0,-38600.0,49.31,-2911.2,1,0.0064,4.6049143664905756e-11,1.6580696537982218e-10,1.0742041804678859e-11,6.7860131576502606e-12,0.2593601867739735,Low Priority
430,769,1477,122,-50200.0,-58200.0,76.86,-1927.1,1,0.0064,6.524587120582126e-11,2.474196125756833e-10,3.5564064713999866e-12,6.9948304960709695e-12,0.2589368284036175,Low Priority
431,578,1236,393,-28520.0,-38920.0,48.25,-2910.6,1,0.0064,6.622953574453305e-11,2.4716137470015553e-10,7.813971691916777e-12,5.132306472171999e-12,0.2587340409067778,Low Priority
432,517,1191,7,-59400.0,-35320.0,69.11,-1869.4,1,0.0064,2.7030881005751795e-11,1.0181648579798972e-10,2.1773769853100644e-12,2.269586645356481e-12,0.2574520099478738,Low Priority
433,657,1300,315,-34760.0,-44040.0,56.11,-2904.9,1,0.0064,4.126290281680767e-11,1.5726973889851334e-10,4.818791633082187e-12,3.7991276791160544e-12,0.2530092256169646,Low Priority
434,456,1087,399,-28040.0,-27000.0,38.93,-2369.1,1,0.0064,3.8905600963090585e-11,1.4794045155586128e-10,5.048657672479529e-12,3.477606223822871e-12,0.2526516398338269,Low Priority
435,549,1214,454,-23640.0,-37160.0,44.04,-2900.1,1,0.0064,2.4670281442706887e-11,9.376899950952478e-11,3.444769643146106e-12,1.4779420092272957e-12,0.2511896412849969,Low Priority
436,658,1302,378,-29720.0,-44200.0,53.26,-2907.7,1,0.0064,3.2549456185915204e-11,1.2073471389317803e-10,8.20641384707832e-12,4.604421011134008e-12,0.2504938717399729,Low Priority
437,721,1357,464,-22840.0,-48600.0,53.7,-2934.5,1,0.0064,4.4125172266040735e-11,1.5168463707304622e-10,2.4385840569074446e-11,1.2927956448416378e-11,0.2491955341941454,Low Priority
438,753,1457,111,-51080.0,-56600.0,76.24,-1938.9,1,0.0064,4.9676436575385446e-11,1.9691998032200783e-10,4.622367592854726e-12,6.573427566158863e-12,0.2452644451236767,Low Priority
439,699,1335,480,-21560.0,-46840.0,51.56,-2903.2,1,0.0064,3.8625828230332e-11,1.4902500067304203e-10,1.7166313509564546e-11,1.2453981422522188e-11,0.231027720663436,Low Priority
440,681,1321,285,-37160.0,-45720.0,58.92,-2856.1,1,0.0064,2.526553445625357e-11,1.0408399836459026e-10,5.436216147375328e-12,2.520670738109798e-12,0.2286055502861711,Low Priority
441,546,1211,352,-31800.0,-36920.0,48.73,-2900.0,1,0.0064,3.2437399988261006e-11,1.3078166327673555e-10,1.1060122435957442e-11,5.409643653170315e-12,0.2270862116881153,Low Priority
442,479,1124,429,-25640.0,-29960.0,39.43,-2330.3,1,0.0064,3.951387481104796e-11,1.6988752071789287e-10,4.748266883847219e-12,7.370807957041148e-12,0.2249762155572016,Low Priority
443,414,799,68,-54520.0,-3960.0,54.66,-2277.5,1,0.0064,6.778994726674979e-11,2.9306065907341845e-10,7.91170167574462e-12,5.3205404491885044e-12,0.2244905695957396,Low Priority
444,469,1112,393,-28520.0,-29000.0,40.67,-2374.2,1,0.0064,4.801718744840144e-11,2.1107619818661047e-10,3.490442960704665e-12,6.170206272998469e-12,0.2227486924360768,Low Priority
445,480,1128,207,-43400.0,-30280.0,52.92,-2480.8,1,0.0064,5.3935623328671405e-11,2.3515822622499627e-10,6.45189630887888e-12,5.526838101760356e-12,0.2223139857700722,Low Priority
446,773,1481,112,-51000.0,-58520.0,77.62,-1930.6,1,0.0064,5.2269393674420066e-11,2.3032327434169275e-10,7.800807742819327e-12,1.1488857608321634e-11,0.2185869077625851,Low Priority
447,622,1265,325,-33960.0,-41240.0,53.42,-2907.2,1,0.0064,4.211843374068991e-11,1.8841074533870736e-10,4.281149219853564e-12,7.588069929342911e-12,0.21745067772031,Low Priority
448,545,1209,257,-39400.0,-36760.0,53.89,-2561.4,1,0.0064,4.034358958016071e-11,1.7962274723171134e-10,9.088216290642492e-12,1.7202286470285877e-11,0.2126581871237346,Low Priority
449,217,259,87,-53000.0,39240.0,65.95,-1900.5,1,0.0064,2.9337681589636227e-11,1.3872938908754406e-10,4.203882034148343e-12,2.9899038973824066e-12,0.2038283529652561,Low Priority
450,548,1214,431,-25480.0,-37160.0,45.06,-2949.5,1,0.0064,2.6968647801051127e-11,1.3109063834448875e-10,2.5741858731415097e-12,2.5836108426269266e-12,0.2002649760821535,Low Priority
451,739,1437,122,-50200.0,-55000.0,74.47,-1915.3,1,0.0064,3.5439293860628496e-11,1.7679584185525954e-10,3.737466065800721e-12,3.921973423109959e-12,0.1952219913055254,Low Priority
452,642,1285,310,-35160.0,-42840.0,55.42,-2876.4,1,0.0064,2.894635919847844e-11,1.4557670346970752e-10,1.860718610441348e-12,4.7045319029326285e-12,0.1950071538082144,Low Priority
453,674,1315,490,-20760.0,-45240.0,49.78,-2885.1,1,0.0064,3.913688123580173e-11,1.8886518737826208e-10,1.2051199448082084e-11,1.5580479614807352e-11,0.193827167031574,Low Priority
454,768,1476,101,-51880.0,-58120.0,77.91,-1935.0,1,0.0064,5.5382583935559275e-11,2.7804947233533994e-10,8.403932931499991e-12,6.65118351020344e-12,0.1926662997230741,Low Priority
455,573,1233,340,-32760.0,-38680.0,50.69,-2901.9,1,0.0064,4.291561897518114e-11,2.1949202178017647e-10,3.794078332758355e-12,4.259171140774676e-12,0.1913431949352716,Low Priority
456,655,1297,500,-19960.0,-43800.0,48.13,-2933.0,1,0.0064,3.127292522164815e-11,1.5473562708923083e-10,8.485763307308769e-12,2.2389853859827724e-11,0.1904314970548874,Low Priority
457,522,1194,434,-25240.0,-35560.0,43.61,-2907.2,1,0.0064,1.7438420499282792e-11,8.924999628234787e-11,1.5506934928841145e-12,2.307999060965904e-12,0.1899595802817999,Low Priority
458,208,251,94,-52440.0,39880.0,65.88,-1908.1,1,0.0064,2.8653111133758448e-11,1.479267125459316e-10,3.324390242254172e-12,1.9066955046082024e-12,0.1881964111197351,Low Priority
459,576,1236,334,-33240.0,-38920.0,51.18,-2900.5,1,0.0064,2.814275722184956e-11,1.4626459765576527e-10,6.082430566156649e-12,5.428749030172986e-12,0.1835233297193194,Low Priority
460,18,108,1199,35960.0,51320.0,62.66,-3824.8,1,0.0064,6.898351334605479e-11,3.631480394172826e-10,1.5052839183460343e-11,6.450304266408802e-12,0.1819181263519352,Low Priority
461,679,1320,295,-36360.0,-45640.0,58.35,-2883.2,1,0.0064,2.5632487452020847e-11,1.3825021683011585e-10,4.243744678583683e-12,4.221418353766993e-12,0.1786311227491398,Low Priority
462,282,305,89,-52840.0,35560.0,63.69,-1921.8,1,0.0064,2.7406899666404527e-11,1.5418512300247042e-10,3.003114684013708e-12,3.469588331916907e-12,0.1732549781654608,Low Priority
463,542,1207,7,-59400.0,-36600.0,69.77,-1888.5,1,0.0064,4.304483852690666e-11,2.597138892834749e-10,3.708349165937319e-12,4.713460090982613e-12,0.1627882691687513,Low Priority
464,41,138,216,-42680.0,48920.0,64.92,-2195.8,1,0.0064,3.969569811745899e-11,2.764435902413709e-10,1.7847180981342414e-12,4.15700980582745e-12,0.1421621552396264,Low Priority
465,606,1255,320,-34360.0,-40440.0,53.07,-2899.0,1,0.0064,2.7956392409378417e-11,1.9739891665704327e-10,8.30088764652154e-13,4.443375788837356e-12,0.1403229030341485,Low Priority
466,540,1206,441,-24680.0,-36520.0,44.08,-2879.1,1,0.0064,5.477291536992722e-11,3.8864952922601503e-10,2.8512697845123336e-12,4.275297563888225e-12,0.139548544889607,Low Priority
467,570,1231,206,-43480.0,-38520.0,58.09,-2480.6,1,0.0064,4.814116466578256e-11,3.4998187681267723e-10,1.1455165808971211e-11,7.85304373612794e-12,0.132826281545503,Low Priority
