Rank,crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,IceIndex,Priority
223,787,1492,171,-46280.0,-59400.0,75.3,-1920.8,1,0.0064,9.397761041585183e-11,1.5428010258222708e-10,6.739180827969316e-12,1.007090418003731e-11,0.5800396621797275,Medium Priority
224,488,1142,310,-35160.0,-31400.0,47.14,-2531.0,1,0.0064,3.9255796530079934e-11,5.7836173350533926e-11,9.202653396267468e-12,5.150809032766768e-12,0.5769616909498724,Medium Priority
225,668,1310,314,-34840.0,-44840.0,56.78,-2909.1,1,0.0064,6.291359794241558e-11,1.0737242345237874e-10,7.165247128265717e-13,5.628508076283012e-12,0.5767183477389355,Medium Priority
226,677,1318,432,-25400.0,-45480.0,52.09,-2890.6,1,0.0064,1.1134106830956724e-10,1.6969842198122362e-10,2.266618663593345e-11,1.7170220106832446e-11,0.575808929595858,Medium Priority
227,708,1342,464,-22840.0,-47400.0,52.62,-2910.9,1,0.0064,9.377221221740227e-11,1.5663485786188147e-10,5.290495038584586e-12,6.761982033337555e-12,0.575553224516809,Medium Priority
228,530,1202,391,-28680.0,-36200.0,46.18,-2913.3,1,0.0064,7.097038234871178e-11,1.12076403713246e-10,1.0289730005552666e-11,8.108233702508459e-12,0.5752825367007285,Medium Priority
229,475,1118,273,-38120.0,-29480.0,48.19,-2404.8,1,0.0064,9.103338222127276e-11,1.5181250700990742e-10,7.550647607157401e-12,7.2284934114763555e-12,0.5676701885707702,Medium Priority
230,670,1312,414,-26840.0,-45000.0,52.4,-2901.9,1,0.0064,1.357723655726062e-10,1.962283668888176e-10,4.229097974595142e-11,2.220127554020124e-11,0.566853439942113,Medium Priority
231,99,186,1167,33400.0,45080.0,56.1,-3911.1,1,0.0064,6.272295877129963e-11,1.0220303769958859e-10,7.576481976523386e-12,6.096791474452523e-12,0.5661963416584929,Medium Priority
232,37,134,1181,34520.0,49240.0,60.13,-3848.4,1,0.0064,7.058079815047691e-11,1.0643402825749604e-10,1.7741858329700655e-11,1.2136951166308307e-11,0.5638529917765814,Medium Priority
233,774,1481,166,-46680.0,-58520.0,74.86,-1963.9,1,0.0064,8.446220112201529e-11,1.406566529915665e-10,9.166349103362226e-12,9.05536149536923e-12,0.5600087516415724,Medium Priority
234,474,1115,248,-40120.0,-29240.0,49.64,-2511.6,1,0.0064,6.239753158610029e-11,1.0573961151116862e-10,4.708210817744307e-12,6.544759959675739e-12,0.559881119991274,Medium Priority
235,249,283,56,-55480.0,37320.0,66.86,-1914.2,1,0.0064,1.293510298872036e-10,2.080656619218857e-10,2.4289757705187043e-11,1.9890932650978848e-11,0.5543090882308221,Medium Priority
236,120,200,1183,34680.0,43960.0,55.99,-3927.6,1,0.0064,7.216310188296049e-11,1.1551977430190874e-10,1.4492905139884547e-11,1.2995516988911767e-11,0.5508100604493119,Medium Priority
237,791,1497,182,-45400.0,-59800.0,75.08,-1918.8,1,0.0064,6.12858305770736e-11,1.074463990002883e-10,3.35033953705044e-12,6.1702314264888694e-12,0.5481897896028951,Medium Priority
